Date,Yield_91d,Yield_364d,Yield_10y
2000-04-30,7.9135,7.9135,10.3663
2000-05-01,7.9135,7.9135,10.3663
2000-05-02,7.9135,7.9135,10.3663
2000-05-03,7.9135,7.9135,10.3663
2000-05-04,7.9135,7.9135,10.3663
2000-05-05,7.9967,7.9967,10.3663
2000-05-06,7.9967,7.9967,10.3663
2000-05-07,7.9967,7.9967,10.3663
2000-05-08,7.9967,7.9967,10.3663
2000-05-09,7.9967,7.9967,10.3663
2000-05-10,7.9967,7.9967,10.3663
2000-05-11,7.9967,7.9967,10.3663
2000-05-12,7.9967,7.9967,10.3663
2000-05-13,7.9967,7.9967,10.3663
2000-05-14,7.9967,7.9967,10.3663
2000-05-15,7.9967,7.9967,10.3663
2000-05-16,7.9967,7.9967,10.3663
2000-05-17,7.9967,7.9967,10.3663
2000-05-18,7.9967,7.9967,10.3663
2000-05-19,8.2049,8.2049,10.3663
2000-05-20,8.2049,8.2049,10.3663
2000-05-21,8.2049,8.2049,10.3663
2000-05-22,8.2049,8.2049,10.3663
2000-05-23,8.2049,8.2049,10.3663
2000-05-24,8.2049,8.2049,10.3663
2000-05-25,8.2049,8.2049,10.3663
2000-05-26,8.7054,8.7054,10.3663
2000-05-27,8.7054,8.7054,10.3663
2000-05-28,8.7054,8.7054,10.3663
2000-05-29,8.7054,8.7054,10.3663
2000-05-30,8.7054,8.7054,10.3663
2000-05-31,8.7054,8.7054,10.8186
2000-06-01,8.7054,8.7054,10.8186
2000-06-02,8.9143,8.9143,10.8186
2000-06-03,8.9143,8.9143,10.8186
2000-06-04,8.9143,8.9143,10.8186
2000-06-05,8.9143,8.9143,10.8186
2000-06-06,8.9143,8.9143,10.8186
2000-06-07,8.9143,8.9143,10.8186
2000-06-08,8.9143,8.9143,10.8186
2000-06-09,8.9143,8.9143,10.8186
2000-06-10,8.9143,8.9143,10.8186
2000-06-11,8.9143,8.9143,10.8186
2000-06-12,8.9143,8.9143,10.8186
2000-06-13,8.9143,8.9143,10.8186
2000-06-14,8.9143,8.9143,10.8186
2000-06-15,8.9143,8.9143,10.8186
2000-06-16,8.9143,8.9143,10.8186
2000-06-17,8.9143,8.9143,10.8186
2000-06-18,8.9143,8.9143,10.8186
2000-06-19,8.9143,8.9143,10.8186
2000-06-20,8.9143,8.9143,10.8186
2000-06-21,8.9143,8.9143,10.8186
2000-06-22,8.9143,8.9143,10.8186
2000-06-23,8.9143,8.9143,10.8186
2000-06-24,8.9143,8.9143,10.8186
2000-06-25,8.9143,8.9143,10.8186
2000-06-26,8.9143,8.9143,10.8186
2000-06-27,8.9143,8.9143,10.8186
2000-06-28,8.9143,8.9143,10.8186
2000-06-29,8.9143,8.9143,10.8186
2000-06-30,8.9143,8.9143,11.1004
2000-07-01,8.9143,8.9143,11.1004
2000-07-02,8.9143,8.9143,11.1004
2000-07-03,8.9143,8.9143,11.1004
2000-07-04,8.9143,8.9143,11.1004
2000-07-05,8.9143,8.9143,11.1004
2000-07-06,8.9143,8.9143,11.1004
2000-07-07,8.8307,8.8307,11.1004
2000-07-08,8.8307,8.8307,11.1004
2000-07-09,8.8307,8.8307,11.1004
2000-07-10,8.8307,8.8307,11.1004
2000-07-11,8.8307,8.8307,11.1004
2000-07-12,8.8307,8.8307,11.1004
2000-07-13,8.8307,8.8307,11.1004
2000-07-14,8.4967,8.4967,11.1004
2000-07-15,8.4967,8.4967,11.1004
2000-07-16,8.4967,8.4967,11.1004
2000-07-17,8.4967,8.4967,11.1004
2000-07-18,8.4967,8.4967,11.1004
2000-07-19,8.4967,8.4967,11.1004
2000-07-20,8.4967,8.4967,11.1004
2000-07-21,8.8725,8.8725,11.1004
2000-07-22,8.8725,8.8725,11.1004
2000-07-23,8.8725,8.8725,11.1004
2000-07-24,8.8725,8.8725,11.1004
2000-07-25,8.8725,8.8725,11.1004
2000-07-26,8.8725,8.8725,11.1004
2000-07-27,8.8725,8.8725,11.1004
2000-07-28,9.249,9.249,11.1004
2000-07-29,9.249,9.249,11.1004
2000-07-30,9.249,9.249,11.1004
2000-07-31,9.249,9.249,11.3
2000-08-01,9.249,9.249,11.3
2000-08-02,9.249,9.249,11.3
2000-08-03,9.249,9.249,11.3
2000-08-04,8.5802,8.5802,11.3
2000-08-05,8.5802,8.5802,11.3
2000-08-06,8.5802,8.5802,11.3
2000-08-07,8.5802,8.5802,11.3
2000-08-08,8.5802,8.5802,11.3
2000-08-09,8.5802,8.5802,11.3
2000-08-10,8.5802,8.5802,11.3
2000-08-11,10.1723,10.1723,11.3
